"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test checks for the disabled attribute","8211","A test to check the field for ""Read-only""","","Fri Mar 28 18:57:02 UTC 2025","passed","Fri Mar 28 18:57:10 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","readonly"
"The test checks for the disabled attribute","12074","A test to check the field for ""Read-only""","","Fri Mar 28 19:05:04 UTC 2025","passed","Fri Mar 28 19:05:16 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","readonly"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","11028","Business Exception Validation Test","","Fri Mar 28 19:28:07 UTC 2025","passed","Fri Mar 28 19:28:18 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","businessException"
"The test gets the value from the placeholder attribute and returns it in String format","8549","Test for getting the Placeholder value","","Fri Mar 28 19:08:34 UTC 2025","passed","Fri Mar 28 19:08:42 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","placeholder"
"DrillDown is not available for InfoWidget.","8813","The DrillDown test","","Fri Mar 28 19:40:20 UTC 2025","passed","Fri Mar 28 19:40:29 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","drillDown"
"","9212","Test to get the name of the downloaded file","","Fri Mar 28 19:41:32 UTC 2025","passed","Fri Mar 28 19:41:41 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","getFileName"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","12518","Business Exception Validation Test","","Fri Mar 28 18:59:57 UTC 2025","passed","Fri Mar 28 19:00:09 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","businessException"
"DrillDown is not available for InfoWidget.","10032","The DrillDown test","","Fri Mar 28 19:36:03 UTC 2025","passed","Fri Mar 28 19:36:13 UTC 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","drillDown"
"The test sets the value in the field, and then checks the value in the field with what should be set","9860","A test for setting a value in a field","","Fri Mar 28 19:03:07 UTC 2025","passed","Fri Mar 28 19:03:17 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","edit"
"Info Widget is always read-only","8907","A test to check the field for ""Read-only""","","Fri Mar 28 19:40:47 UTC 2025","passed","Fri Mar 28 19:40:56 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","readonly"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10355","Required Message validation test for one field","","Fri Mar 28 19:02:36 UTC 2025","passed","Fri Mar 28 19:02:46 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","fieldLevelValidationAnnotation"
